,name,average_review,review_count,price_range,street_address,restaurant_type
225,The Shakespeare,4.6255,255,$31 to $50,"24 E. 39th Street New York, NY  10016",British
226,Gaby Brasserie Française,4.3566,566,$31 to $50,"44 West 45th Street - Gaby Brasserie Française Gaby Brasserie Française New York, NY  10036",French
227,SOUTHGATE Bar & Restaurant,4.3768,768,$31 to $50,"160 Central Park South New York, NY  10019",American
228,Empire Steakhouse - 237 West 54 Street off of Broadway,4.4683,683,$50 and over,"237 West 54th Street New York, NY  10019",Steakhouse
229,STATE Grill and Bar,4.3492,492,$31 to $50,"21 West 33rd Street New York, NY  10118",American
230,The Lambs Club - Bar,4.6376,376,$50 and over,"132 W. 44th Street New York, NY  10036",Contemporary American
231,Bocca Di Bacco (Chelsea - 20th St.),4.2445,445,$30 and under,"169 9th Avenue New York, NY  10011",Italian
232,Amma,4.61336,1336,$31 to $50,"246 E. 51st Street New York, NY  10022",Indian
233,Ben and Jack's Steakhouse 44th Street,4.6714,714,$50 and over,"219 East 44th Street New York, NY  10017",Steakhouse
234,Jue Lan Club,4.0315,315,$31 to $50,"49 W 20th Street New York, NY  10011",Chinese
235,Empire Steak House- East,4.4307,307,$50 and over,"151 East 50th Street New York, NY  10022",Steakhouse
236,Bread & Tulips,4.5472,472,$30 and under,"365 Park Avenue South New York, NY  10016",Italian
237,Tudor City Steak House,4.376,76,$31 to $50,"45 Tudor City Pl New York, NY  10017-7601",Steak
238,Triomphe,4.41552,1552,$31 to $50,"49 West 44th Street New York, NY  10036",French American
239,Blenheim,4.3388,388,$31 to $50,"283 West 12th Street New York, NY  10014",Contemporary American
240,1 Darbar,4.4516,516,$30 and under,"152 E 46th Street New York, NY  10017",Indian
241,Zio Ristorante,4.6546,546,$31 to $50,"17 West 19th St. New York, NY  10011",Italian
242,Meet the Meat,4.8191,191,$31 to $50,"23-92 21st Street Astoria, NY  11105",Steakhouse
243,The Morgan Dining Room,4.4351,351,$30 and under,"225 Madison Avenue New York, NY  10016",American
244,Montebello Ristorante Italiano,4.4612,612,$31 to $50,"120 E. 56th St. New York, NY  10022",Italian
245,2 Darbar Grill,4.5316,316,$30 and under,"157 East 55th Street New York, NY  10022",Indian
246,Gin Parlour - InterContinental New York,3.75,50,$30 and under,"111 East 48th Street New York, NY  10017",Contemporary American
247,Michael Jordan's The Steak House N.Y.C.,3.9216,2160,$31 to $50,"23 Vanderbilt Ave New York, NY  10017",Steakhouse
248,Beauty & Essex- New York,4.65452,5452,$31 to $50,"146 Essex Street New York, NY  10002",Tapas / Small Plates
249,Mercer Kitchen,4.54598,4598,$30 and under,"99 Prince Street New York, NY  10012",American
250,The Dutch,4.62125,2125,$31 to $50,"131 Sullivan Street New York, NY  10000",American
251,Lafayette,4.52128,2128,$31 to $50,"380 Lafayette Street New York, NY  10003",French
252,Vandal,4.61829,1829,$50 and over,"199 Bowery New York, NY  10002",Tapas / Small Plates
253,Gotham Bar and Grill,4.78591,8591,$50 and over,"12 East 12th Street New York, NY  10003",Contemporary American
254,Il Buco Alimentari & Vineria,4.72011,2011,$31 to $50,"53 Great Jones St. New York, NY  10012",Italian
255,Bar Primi,4.6794,794,$30 and under,"325 Bowery New York, NY  10003",Italian
256,Lure New York,4.73269,3269,$31 to $50,"142 Mercer New York, NY  10012",Seafood
